site,plot_id,plot,timepoint,cover_type,percentage_cover
IT,IT2,IT_3,fall_2022,CCA,6.462585034
IT,IT2,IT_3,fall_2022,fleshy_macro,0.340136054
IT,IT2,IT_3,fall_2022,calcified_macro,0
IT,IT2,IT_3,fall_2022,turf,62.41496599
IT,IT2,IT_3,fall_2022,sponge,6.632653061
IT,IT2,IT_3,fall_2022,sand_sediment,7.993197279
IT,IT2,IT_3,fall_2022,other,4.081632653
IT,IT2,IT_3,spring_2022,hard_coral,12.98482293
IT,IT2,IT_3,spring_2022,soft_coral,0.168634064
IT,IT2,IT_3,spring_2022,CCA,1.517706577
IT,IT2,IT_3,spring_2022,fleshy_macro,2.023608769
IT,IT2,IT_3,spring_2022,calcified_macro,0.168634064
IT,IT2,IT_3,spring_2022,turf,74.36762226
IT,IT2,IT_3,spring_2022,sponge,2.192242833
IT,IT2,IT_3,spring_2022,sand_sediment,5.902192243
IT,IT2,IT_3,spring_2022,other,0.674536256
IT,IT3,IT_1,fall_2022,hard_coral,35.52859619
IT,IT3,IT_1,fall_2022,soft_coral,0
IT,IT3,IT_1,fall_2022,CCA,0.693240901
IT,IT3,IT_1,fall_2022,fleshy_macro,0
IT,IT3,IT_1,fall_2022,calcified_macro,0
IT,IT3,IT_1,fall_2022,turf,57.19237435
IT,IT3,IT_1,fall_2022,sponge,1.386481802
IT,IT3,IT_1,fall_2022,sand_sediment,2.772963605
IT,IT3,IT_1,fall_2022,other,2.426343154
IT,IT3,IT_1,spring_2022,hard_coral,36.94158076
IT,IT3,IT_1,spring_2022,soft_coral,0
IT,IT3,IT_1,spring_2022,CCA,0.859106529
IT,IT3,IT_1,spring_2022,fleshy_macro,0.687285223
IT,IT3,IT_1,spring_2022,calcified_macro,0.171821306
IT,IT3,IT_1,spring_2022,turf,56.18556701
IT,IT3,IT_1,spring_2022,sponge,0.343642612
IT,IT3,IT_1,spring_2022,sand_sediment,2.749140893
IT,IT3,IT_1,spring_2022,other,2.06185567
